ID,Name,Municipality,Province,Instrument,Units,Lat,Lng,Elevation
TOS11000080,Pentolina,Chiusdino,SI,thermometer,C,43.2085023992,11.1799021081,450.0
TOS02004284,Piaggione,Lucca,LU,stage,m,43.9293529009473,10.5142754316329,72.0
TOS02004284,Piaggione,Lucca,LU,stage,m,43.9293529009473,10.5142754316329,72.0
TOS02004284,Piaggione,Lucca,LU,rain gauge,mm,43.9293529009473,10.5142754316329,72.0
TOS02004284,Piaggione,Lucca,LU,rain gauge,mm,43.9293529009473,10.5142754316329,72.0
TOS19000681,Podere Casetta,Sovicille,SI,phreatimeter,m,43.2522618069,11.2257853703,192.57
TOS19000681,Podere Casetta,Sovicille,SI,quality,microS/cm,43.2522618069,11.2257853703,192.57
TOS19000681,Podere Casetta,Sovicille,SI,water thermometer,C,43.2522618069,11.2257853703,192.57
TOS11000109,Ponte a Moriano,Lucca,LU,anemometer,deg,43.8900912874,10.5291011739,33.0
TOS11000109,Ponte a Moriano,Lucca,LU,anemometer,m/s,43.8900912874,10.5291011739,33.0
TOS11000109,Ponte a Moriano3,Lucca,LU,anemometer,m/s,43.8900912874,10.5291011739,33.0
TOS11000109,Ponte a Moriano,Lucca,LU,hygrometer,%,43.8900912874,10.5291011739,33.0
TOS11000109,Ponte a Moriano,Lucca,LU,rain gauge,mm,43.8900912874,10.5291011739,33.0
TOS11000109,Ponte a Moriano,Lucca,LU,thermometer,C,43.8900912874,10.5291011739,33.0
TOS03005707,Ponte Orgia,Sovicille,SI,stage,m,43.2146453955979,11.2581115961075,
TOS03005707,Ponte Orgia,Sovicille,SI,rain gauge,mm,43.2146453955979,11.2581115961075,
TOS02004315,Pontetetto,Lucca,LU,stage,m,43.829653381293,10.4697645000399,12.99
TOS02004315,Pontetetto,Lucca,LU,stage,m,43.829653381293,10.4697645000399,12.99
TOS02004315,Pontetetto,Lucca,LU,rain gauge,mm,43.829653381293,10.4697645000399,12.99
TOS02004315,Pontetetto,Lucca,LU,rain gauge,mm,43.829653381293,10.4697645000399,12.99
TOS01000961,S. Agata di Mugello,Scarperia e San Piero,FI,rain gauge,mm,44.0206942715915,11.3372092173825,357.0
TOS11000052,S. Fiora,Arcidosso,GR,anemometer,deg,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,anemometer,m/s,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,anemometer,deg,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,anemometer,m/s,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora3,Arcidosso,GR,anemometer,m/s,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,hygrometer,%,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,hygrometer,%,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,hygrometer,%,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,hygrometer,%,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,snow meter,m,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,rain gauge,mm,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,rain gauge,mm,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,Crookes radiometer,W/mq,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora,Arcidosso,GR,thermometer,C,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,thermometer,C,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,thermometer,C,42.8544802987822,11.5557932853699,813.0
TOS11000052,S. Fiora1,Arcidosso,GR,thermometer,C,42.8544802987822,11.5557932853699,813.0
TOS20000004,S. Fiora 11bis,Grosseto,GR,phreatimeter,m,42.83821353074,11.584454609002,706.0
TOS20000004,S. Fiora 11bis,Grosseto,GR,quality,microS/cm,42.83821353074,11.584454609002,706.0
TOS20000004,S. Fiora 11bis,Grosseto,GR,water thermometer,C,42.83821353074,11.584454609002,706.0
TOS20000003,S. Fiora 8,Grosseto,GR,phreatimeter,m,42.838183704448,11.585774816694,705.0
TOS20000003,S. Fiora 8,Grosseto,GR,quality,microS/cm,42.838183704448,11.585774816694,705.0
TOS20000003,S. Fiora 8,Grosseto,GR,water thermometer,C,42.838183704448,11.585774816694,705.0
TOS11000025,Scorgiano,Monteriggioni,SI,anemometer,deg,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano,Monteriggioni,SI,anemometer,m/s,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano3,Monteriggioni,SI,anemometer,m/s,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano,Monteriggioni,SI,hygrometer,%,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano,Monteriggioni,SI,rain gauge,mm,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano,Monteriggioni,SI,Crookes radiometer,W/mq,43.3662705449382,11.1514253603796,233.0
TOS11000025,Scorgiano,Monteriggioni,SI,thermometer,C,43.3662705449382,11.1514253603796,233.0
TOS01002661,Siena Poggio al Vento,Siena,SI,anemometer,deg,43.3204477140485,11.3125920295715,348.0
TOS01002661,Siena Poggio al Vento,Siena,SI,anemometer,m/s,43.3204477140485,11.3125920295715,348.0
TOS01002661,Siena Poggio al Vento,Siena,SI,anemometer,m/s,43.3204477140485,11.3125920295715,348.0
TOS01002661,Siena Poggio al Vento,Siena,SI,hygrometer,%,43.3204477140485,11.3125920295715,348.0
TOS01002661,Siena Poggio al Vento,Siena,SI,rain gauge,mm,43.3204477140485,11.3125920295715,348.0
TOS01002661,Siena Poggio al Vento,Siena,SI,thermometer,C,43.3204477140485,11.3125920295715,348.0
TOS01001379,Simignano,Sovicille,SI,rain gauge,mm,43.29205001405,11.1672339510648,420.0
TOS03002761,Sovicille,Sovicille,SI,rain gauge,mm,43.2762942866471,11.2298598671249,260.0
TOS01000581,Stia,Pratovecchio Stia,AR,rain gauge,mm,43.8017811102716,11.7176055908203,537.0
TOS01000581,Stia,Pratovecchio Stia,AR,rain gauge,mm,43.8017811102716,11.7176055908203,537.0
TOS02000339,Tereglio,Coreglia Antelminelli,LU,rain gauge,mm,44.0598455627244,10.5677855014801,590.0
TOS01001171,Vernio,Vernio,PO,rain gauge,mm,44.0566764643598,11.1205574856121,695.0
